,date,ggsearch,facebook,display,promotion,day,month,leads_n,days_considered,considered_leads_n,days_purchase,purchase_leads,time_to_purchase,purchase_leads_fur
0,2022-02-04,2424.34,200.72,284,0,Friday,February,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-02-05,2110.07,407.44,194,0,Saturday,February,8,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-02-06,2091.32,395.24,247,0,Sunday,February,4,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-02-07,2867.82,415.98,211,0,Monday,February,21,0.0,0.0,0.0,0.0,66.0,1.0
4,2022-02-08,2569.72,433.87,283,0,Tuesday,February,17,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-02-09,2808.94,427.29,135,0,Wednesday,February,19,1.0,2.0,0.0,0.0,222.0,1.0
6,2022-02-10,2728.04,425.3,281,0,Thursday,February,18,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-02-11,2477.71,434.02,200,0,Friday,February,15,0.0,0.0,0.0,0.0,81.0,1.0
8,2022-02-12,1789.4,419.92,263,0,Saturday,February,10,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-02-13,1983.92,400.09,175,0,Sunday,February,8,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-02-14,2740.64,382.66,276,0,Monday,February,26,3.0,1.0,0.0,0.0,204.0,1.0
11,2022-02-15,2988.91,401.89,149,0,Tuesday,February,25,0.0,0.0,0.0,0.0,65.0,1.0
12,2022-02-16,2815.51,407.65,294,0,Wednesday,February,26,1.0,1.0,0.0,0.0,105.0,1.0
13,2022-02-17,3201.54,423.01,238,0,Thursday,February,28,0.0,1.0,0.0,0.0,119.5,2.0
14,2022-02-18,3073.97,409.3,166,0,Friday,February,23,1.0,1.0,0.0,0.0,0.0,0.0
15,2022-02-19,2225.89,390.89,289,0,Saturday,February,9,0.0,0.0,0.0,0.0,0.0,0.0
16,2022-02-20,2383.54,388.24,191,0,Sunday,February,7,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-02-21,3321.54,418.16,252,0,Monday,February,33,7.0,1.0,0.0,0.0,126.0,1.0
18,2022-02-22,3317.09,406.36,216,0,Tuesday,February,31,0.0,0.0,0.0,0.0,0.0,0.0
19,2022-02-23,4617.53,386.39,289,0,Wednesday,February,25,3.5,2.0,0.0,0.0,97.66666666666667,3.0
20,2022-02-24,4136.68,400.61,138,0,Thursday,February,24,1.0,1.0,0.0,0.0,0.0,0.0
21,2022-02-25,4259.76,425.46,280,0,Friday,February,33,4.0,1.0,0.0,0.0,0.0,0.0
22,2022-02-26,2084.06,419.07,205,0,Saturday,February,8,0.0,0.0,0.0,0.0,0.0,0.0
